Symbol,BaseSymbol,SynSymbol,SciName,CommonName,Family
ERPE16,ERPI2,ERPE16,Eragrostis perplexa L.H. Harv.,,Poaceae
ERPI,ERTR3,ERPI,Eragrostis pilifera Scheele,,Poaceae
ERPI2,ERPI2,,Eragrostis pilosa (L.) P. Beauv.,Indian lovegrass,Poaceae
ERPIP,ERPI2,ERPIP,Eragrostis pilosa (L.) P. Beauv. var. perplexa (L.H. Harv.) S.D. Koch,,Poaceae
ERPIP3,ERPI2,ERPIP3,Eragrostis pilosa (L.) P. Beauv. var. pilosa,,Poaceae
ERPU14,ERPEP2,ERPU14,Eragrostis purshii hort. ex Schrad.,,Poaceae
ERRE2,NERE3,ERRE2,Eragrostis reptans (Michx.) Nees,,Poaceae
ERRO9,ERCU2,ERRO9,Eragrostis robusta Stent,,Poaceae
ERSE,ERSE,,Eragrostis secundiflora J. Presl,red lovegrass,Poaceae
ERSEO,ERSEO,,Eragrostis secundiflora J. Presl ssp. oxylepis (Torr.) S.D. Koch,red lovegrass,Poaceae
ERSE2,ERSE2,,Eragrostis sessilispica Buckley,tumble lovegrass,Poaceae
ERSP,ERSP,,Eragrostis spectabilis (Pursh) Steud.,purple lovegrass,Poaceae
ERSPS5,ERSP,ERSPS5,Eragrostis spectabilis (Pursh) Steud. var. sparsihirsuta Farw.,,Poaceae
ERSU,ERSU,,Eragrostis superba Peyr.,Wilman's lovegrass,Poaceae
ERTE3,ERPEM,ERTE3,Eragrostis tephrosanthos Schult.,,Poaceae
ERTR3,ERTR3,,Eragrostis trichodes (Nutt.) Alph. Wood,sand lovegrass,Poaceae
ERTRP,ERTR3,ERTRP,Eragrostis trichodes (Nutt.) Alph. Wood var. pilifera (Scheele) Fernald,,Poaceae
ERxx,,,Eragrostis unknown sp.,,Poaceae
ERAGR,ERAGR,,Eragrostis von Wolf,lovegrass spp.,Poaceae
ERWE3,NERE3,ERWE3,Eragrostis weigeltiana (Rchb. ex Trin.) Bush,,Poaceae
ERAN13,CRAN4,ERAN13,Eremocarya angustifolia Torr.,,Boraginaceae
ERMI11,CRMIM,ERMI11,Eremocarya micrantha (Torr.) Greene,,Boraginaceae
ER2xx,,,Eremocarya unknown sp.,,Boraginaceae
ERAC6,ARAC2,ERAC6,Eremogone aculeata (S. Watson) Ikonn.,,Caryophyllaceae
EREA3,AREAE,EREA3,Eremogone eastwoodiae (Rydb.) Ikonn.,,Caryophyllaceae
ERFE3,ARFEF3,ERFE3,Eremogone fendleri (A. Gray) Ikonn.,,Caryophyllaceae
ERHO13,ARHOH3,ERHO13,Eremogone hookeri (Nutt.) W.A. Weber,,Caryophyllaceae
ERHOH2,ARHOH3,ERHOH2,Eremogone hookeri (Nutt.) W.A. Weber var. hookeri,,Caryophyllaceae
ER3xx,,,Eremogone unknown sp.,,Caryophyllaceae
EREMO5,EREMO5,,Eremopyrum (Ledeb.) Jaubert & Spach,false wheatgrass,Poaceae
ERTR13,ERTR13,,Eremopyrum triticeum (Gaertn.) Nevski,annual wheatgrass,Poaceae
ER4xx,,,Eremopyrum unknown sp.,,Poaceae
ERRA,SARA3,ERRA,Erianthus ravennae (L.) P. Beauv.,,Poaceae
ERRAP2,SARA3,ERRAP2,Erianthus ravennae (L.) P. Beauv. var. purpurascens (Andersson) Hack.,,Poaceae
ER5xx,,,Erianthus unknown sp.,,Poaceae
ERDI2,ERDI2,,Eriastrum diffusum (A. Gray) H. Mason,miniature woolstar,Polemoniaceae
ERDIJ,ERDI2,ERDIJ,Eriastrum diffusum (A. Gray) H. Mason ssp. jonesii H. Mason,,Polemoniaceae
ER6xx,,,Eriastrum unknown sp.,,Polemoniaceae
ERIAS,ERIAS,,Eriastrum Wooton & Standl.,woollystar,Polemoniaceae
ERCU7,ERCU7,,Ericameria cuneata (A. Gray) McClatchie,cliff heathgoldenrod,Asteraceae
ERCUS,ERCUS,,Ericameria cuneata (A. Gray) McClatchie var. spathulata (A. Gray) H.M. Hall,cliff goldenbush,Asteraceae
ERDE15,CHDE2,ERDE15,Ericameria depressa (Nutt.) L.C. Anderson,,Asteraceae
ERFI5,CHGR6,ERFI5,Ericameria filifolia (Rydb.) L.C. Anderson,,Asteraceae
ERLA12,ERLA12,,Ericameria laricifolia (A. Gray) Shinners,turpentine bush,Asteraceae
ERLI9,CHLI3,ERLI9,Ericameria linifolia (Greene) L.C. Anderson,,Asteraceae
ERNA10,ERNA10,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird,rubber rabbitbrush,Asteraceae
ERNAC2,ERNAC2,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. consimilis (Greene) G.L. Nesom & Baird,rubber rabbitbrush,Asteraceae
ERNAA3,ERNAA3,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. consimilis (Greene) G.L. Nesom & Baird var. arenaria (L.C. Anderson) G.L. Nesom & Baird,rubber rabbitbrush,Asteraceae
ERNAJ,ERNAJ,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. consimilis (Greene) G.L. Nesom & Baird var. juncea (Greene) G.L. Nesom & Baird,rubber rabbitbrush,Asteraceae
ERNAN2,ERNAN2,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. consimilis (Greene) G.L. Nesom & Baird var. nitida (L.C. Anderson) G.L. Nesom & Baird,rubber rabbitbrush,Asteraceae
ERNAO,ERNAO,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. consimilis (Greene) G.L. Nesom & Baird var. oreophila (A. Nelson) G.L. Nesom & Baird,rubber rabbitbrush,Asteraceae
ERNAT,ERNAT,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. consimilis (Greene) G.L. Nesom & Baird var. turbinata (M.E. Jones) G.L. Nesom & Baird,rubber rabbitbrush,Asteraceae
ERNAN3,ERNAN3,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa,rubber rabbitbrush,Asteraceae
ERNAB2,ERNAB2,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. bigelovii (A. Gray) G.L. Nesom & Baird,rubber rabbitbrush,Asteraceae
ERNAG,ERNAG,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. glabrata (A. Gray) G.L. Nesom & Baird,rubber rabbitbrush,Asteraceae
ERNAH,ERNAH,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. hololeuca (A. Gray) G.L. Nesom & Baird,rubber rabbitbrush,Asteraceae
ERNAL2,ERNAL2,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. latisquamea (A. Gray) G.L. Nesom & Baird,rubber rabbitbrush,Asteraceae
ERNAN5,ERNAN5,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. nauseosa,rubber rabbitbrush,Asteraceae
ERNAS2,ERNAS2,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. speciosa (Nutt.) G.L. Nesom & Baird,rubber rabbitbrush,Asteraceae
ERNAT2,ERNAT2,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. texensis (L.C. Anderson) G.L. Nesom & Baird,rubber rabbitbrush,Asteraceae
ERNAA4,ERNAO,ERNAA4,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird var. arta (A. Nelson) G.L. Nesom & Baird,,Asteraceae
ERNAG3,ERNAG,ERNAG3,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird var. graveolens (Nutt.) Reveal & Schuyler,,Asteraceae
ERICA2,ERICA2,,Ericameria Nutt.,goldenbush,Asteraceae
ERPA30,ERPA30,,Ericameria parryi (A. Gray) G.L. Nesom & Baird,Parry's rabbitbrush,Asteraceae
ERPAA2,ERPAA2,,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. affinis (A. Nelson) G.L. Nesom & Baird,Parry's rabbitbrush,Asteraceae
ERPAA4,ERPAA4,,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. attenuata (M.E. Jones) G.L. Nesom & Baird,Parry's rabbitbrush,Asteraceae
ERPAH,ERPAH,,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. howardii (Parry ex A. Gray) G.L. Nesom & Baird,Parry's rabbitbrush,Asteraceae
ERPAP10,ERPAP10,,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. parryi,green rabbitbrush,Asteraceae
ERPU19,CHPU4,ERPU19,Ericameria pulchella (A. Gray) L.C. Anderson,,Asteraceae
ERPUB2,CHBA11,ERPUB2,Ericameria pulchella (A. Gray) L.C. Anderson ssp. baileyi (Wooton & Standl.) L.C. Anderson,,Asteraceae
ERPUE3,CHPU4,ERPUE3,Ericameria pulchella (A. Gray) L.C. Anderson var. elatior (Standl.) L.C. Anderson,,Asteraceae
ERSP18,CHSP3,ERSP18,Ericameria spathulata (L.C. Anderson) L.C. Anderson,,Asteraceae
ER7xx,,,Ericameria unknown sp.,,Asteraceae
ERVA9,CHVA2,ERVA9,Ericameria vaseyi (A. Gray) L.C. Anderson,,Asteraceae
ERVI22,CHVIV4,ERVI22,Ericameria viscidiflora (Hook.) L.C. Anderson,,Asteraceae
ERVIL,CHVIL4,ERVIL,Ericameria viscidiflora (Hook.) L.C. Anderson ssp. lanceolata (Nutt.) L.C. Anderson,,Asteraceae
ERVIS2,CHVIS5,ERVIS2,Ericameria viscidiflora (Hook.) L.C. Anderson var. stenophylla (A. Gray) L.C. Anderson,,Asteraceae
ERAC7,ERAC7,,Erigeron acomanus Spellenb. & P. Knight,bluewater fleabane,Asteraceae
ERAC9,ERACD2,ERAC9,Erigeron acris auct. non L. p.p.,,Asteraceae
ERAC2,ERAC2,,Erigeron acris L.,bitter fleabane,Asteraceae
ERACD2,ERACD2,,Erigeron acris L. ssp. debilis (A. Gray) Piper,bitter fleabane,Asteraceae
ERACD6,ERACD2,ERACD6,Erigeron acris L. var. debilis A. Gray,,Asteraceae
ERAND2,ERACD2,ERAND2,Erigeron angulosus Gaudin ssp. debilis (A. Gray) Piper,,Asteraceae
ERAN,ERAN,,Erigeron annuus (L.) Pers.,eastern daisy fleabane,Asteraceae
ERAND,ERAN,ERAND,Erigeron annuus (L.) Pers. var. discoideus (Vict. & J. Rousseau) Cronquist,,Asteraceae
ERAP,ERAP,,Erigeron aphanactis (A. Gray) Greene,rayless shaggy fleabane,Asteraceae
ERAPA2,ERAPA2,,Erigeron aphanactis (A. Gray) Greene var. aphanactis,rayless shaggy fleabane,Asteraceae
ERAR29,ERBEA,ERAR29,Erigeron arenarius Greene,,Asteraceae
ERAR4,ERAR4,,Erigeron arizonicus A. Gray,Arizona fleabane,Asteraceae
ERAS4,ERGLG,ERAS4,Erigeron asperum Nutt. p.p.,,Asteraceae
ERBE2,ERBE2,,Erigeron bellidiastrum Nutt.,western daisy fleabane,Asteraceae
ERBEA,ERBEA,,Erigeron bellidiastrum Nutt. var. arenarius (Greene) G.L. Nesom,sandwort daisy fleabane,Asteraceae
ERBEB,ERBEB,,Erigeron bellidiastrum Nutt. var. bellidiastrum,western daisy fleabane,Asteraceae
ERBER,ERBER,,Erigeron bellidiastrum Nutt. var. robustus Cronquist,western daisy fleabane,Asteraceae
ERBI3,ERBI3,,Erigeron bigelovii A. Gray,Bigelow's fleabane,Asteraceae
ERBI9,ERBI9,,Erigeron bistiensis G.L. Nesom & Hevron,Ojo Alamo fleabane,Asteraceae
ERBO4,COBO,ERBO4,Erigeron bonariensis L.,,Asteraceae
ERBR12,ERCOC3,ERBR12,Erigeron brandegeei A. Gray,,Asteraceae
ERCA2,ERCA2,,Erigeron caespitosus Nutt.,tufted fleabane,Asteraceae
ERCAL,ERCA2,ERCAL,Erigeron caespitosus Nutt. var. laccoliticus M.E. Jones,,Asteraceae
ERCA21,ERPEC2,ERCA21,Erigeron callianthemus Greene,,Asteraceae
ERCA10,EREAE,ERCA10,Erigeron canaani S.L. Welsh,,Asteraceae
ERCA20,COCAC3,ERCA20,Erigeron canadensis L.,,Asteraceae
ERCAG,COCAG,ERCAG,Erigeron canadensis L. var. glabratus A. Gray,,Asteraceae
ERCA4,ERCA4,,Erigeron canus A. Gray,hoary fleabane,Asteraceae
ERCO28,ERCO28,,Erigeron colomexicanus A. Nelson,running fleabane,Asteraceae
ERCOC,ERCO15,ERCOC,Erigeron compactus S.F. Blake var. consimilis (Cronquist) S.F. Blake,,Asteraceae
ERCO4,ERCO4,,Erigeron compositus Pursh,cutleaf daisy,Asteraceae
ERCOD,ERCO4,ERCOD,Erigeron compositus Pursh var. discoideus A. Gray,,Asteraceae
ERCOG,ERCO4,ERCOG,Erigeron compositus Pursh var. glabratus Macoun,,Asteraceae
ERCOM2,ERCO4,ERCOM2,Erigeron compositus Pursh var. multifidus (Rydb.) J.F. Macbr. & Payson,,Asteraceae
ERCOP,ERPI6,ERCOP,Erigeron compositus Pursh var. pinnatisectus A. Gray,,Asteraceae
ERCOT2,ERCO4,ERCOT2,Erigeron compositus Pursh var. typicus Hook.,,Asteraceae
ERCO27,ERCO27,,Erigeron concinnus (Hook. & Arn.) Torr. & A. Gray,Navajo fleabane,Asteraceae
ERCOA3,ERAPA2,ERCOA3,Erigeron concinnus (Hook. & Arn.) Torr. & A. Gray var. aphanactis A. Gray,,Asteraceae
ERCOC3,ERCOC3,,Erigeron concinnus (Hook. & Arn.) Torr. & A. Gray var. concinnus,Navajo fleabane,Asteraceae
ERCOC4,ERCOC4,,Erigeron concinnus (Hook. & Arn.) Torr. & A. Gray var. condensatus D.C. Eaton,Navajo fleabane,Asteraceae
ERCOS,ERCOS,,Erigeron concinnus (Hook. & Arn.) Torr. & A. Gray var. subglaber (Cronquist) G.L. Nesom,Navajo fleabane,Asteraceae
ERCO34,ERCOC4,ERCO34,Erigeron condensatus (D.C. Eaton) Greene,,Asteraceae
ERCO15,ERCO15,,Erigeron consimilis Cronquist,foothill fleabane,Asteraceae
ERCO6,ERCO6,,Erigeron coulteri Porter,large mountain fleabane,Asteraceae
ERCR11,COBO,ERCR11,Erigeron crispus Pourr.,,Asteraceae
ERDE12,ERACD2,ERDE12,Erigeron debilis (A. Gray) Rydb.,,Asteraceae
ERDEN2,ERNE3,ERDEN2,Erigeron delphiniifolius Willd. ssp. neomexicanus (A. Gray) Cronquist,,Asteraceae
ERDEE3,ERNE3,ERDEE3,Erigeron delphiniifolius Willd. var. euneomexicanus Cronquist,,Asteraceae
ERDEO,EROR5,ERDEO,Erigeron delphiniifolius Willd. var. oreophilus (Greenm.) Cronquist,,Asteraceae
ERDI12,CORA4,ERDI12,Erigeron divaricatus Michx.,,Asteraceae
ERDI4,ERDI4,,Erigeron divergens Torr. & A. Gray,spreading fleabane,Asteraceae
ERDIC,ERCO28,ERDIC,Erigeron divergens Torr. & A. Gray var. cinereus A. Gray,,Asteraceae
ERDIT,ERDI4,ERDIT,Erigeron divergens Torr. & A. Gray var. typicus Cronquist,,Asteraceae
EREA,EREA,,Erigeron eatonii A. Gray,Eaton's fleabane,Asteraceae
EREAT,EREAE,EREAT,Erigeron eatonii A. Gray ssp. typicus Cronquist,,Asteraceae
EREAE,EREAE,,Erigeron eatonii A. Gray var. eatonii,Eaton's fleabane,Asteraceae
EREL9,EREL9,,Erigeron elatior (A. Gray) Greene,tall fleabane,Asteraceae
EREN,EREN,,Erigeron engelmannii A. Nelson,Engelmann's fleabane,Asteraceae
ERENT,ERENE,ERENT,Erigeron engelmannii A. Nelson ssp. typicus Cronquist,,Asteraceae
ERENE,ERENE,,Erigeron engelmannii A. Nelson var. engelmannii,Engelmann's fleabane,Asteraceae
EREX4,EREX4,,Erigeron eximius Greene,sprucefir fleabane,Asteraceae
ERFL,ERFL,,Erigeron flagellaris A. Gray,trailing fleabane,Asteraceae
ERFLT,ERFL,ERFLT,Erigeron flagellaris A. Gray var. typicus Cronquist,,Asteraceae
ERFO3,ERFO3,,Erigeron formosissimus Greene,beautiful fleabane,Asteraceae
ERFOF2,ERFO3,ERFOF2,Erigeron formosissimus Greene var. formosissimus,,Asteraceae
ERFOT,ERFO3,ERFOT,Erigeron formosissimus Greene var. typicus Cronquist,,Asteraceae
ERFOV,ERFO3,ERFOV,Erigeron formosissimus Greene var. viscidus (Rydb.) Cronquist,,Asteraceae
ERGEC,ERVE13,ERGEC,Erigeron geiseri Shinners var. calcicola Shinners,,Asteraceae
ERGI4,ERVE13,ERGI4,Erigeron gilensis Wooton & Standl.,,Asteraceae
ERGL2,ERGL2,,Erigeron glabellus Nutt.,streamside fleabane,Asteraceae
ERGLT,ERGLG,ERGLT,Erigeron glabellus Nutt. ssp. typicus Cronquist,,Asteraceae
ERGLG,ERGLG,,Erigeron glabellus Nutt. var. glabellus,streamside fleabane,Asteraceae
ERGLM,ERSUS,ERGLM,Erigeron glabellus Nutt. var. mollis A. Gray,,Asteraceae
ERGLV,ERFO3,ERGLV,Erigeron glabellus Nutt. var. viscidus (Rydb.) B. Boivin,,Asteraceae
ERGL5,ERPEC,ERGL5,Erigeron glacialis (Nutt.) A. Nelson,,Asteraceae
ERGR3,ERGR3,,Erigeron grandiflorus Hook.,largeflower fleabane,Asteraceae
ERGRE2,EREL9,ERGRE2,Erigeron grandiflorus Hook. var. elatior A. Gray,,Asteraceae
ERHE9,ERHE9,,Erigeron hessii G.L. Nesom,Hess' fleabane,Asteraceae
ERJU,ERACD2,ERJU,Erigeron jucundus Greene,,Asteraceae
ERIGE2,ERIGE2,,Erigeron L.,fleabane spp. (common),Asteraceae
ERLE6,ERLE6,,Erigeron leiomerus A. Gray,rockslide yellow fleabane,Asteraceae
ERLI2,COBO,ERLI2,Erigeron linifolius Willd.,,Asteraceae
ERLOW,ERMO2,ERLOW,Erigeron lobatus A. Nelson var. warnockii Shinners,,Asteraceae
ERLO,ERLO,,Erigeron lonchophyllus Hook.,shortray boreal daisy,Asteraceae
ERLOL,ERLO,ERLOL,Erigeron lonchophyllus Hook. var. laurentianus Vict.,,Asteraceae
ERMA11,ERSPM,ERMA11,Erigeron macranthus Nutt.,,Asteraceae
ERME2,ERME2,,Erigeron melanocephalus (A. Nelson) A. Nelson,blackhead fleabane,Asteraceae
ERMI,ERVE13,ERMI,Erigeron mimegletes Shinners,,Asteraceae
ERMI10,ERLO,ERMI10,Erigeron minor (Hook.) Rydb.,,Asteraceae
ERMO2,ERMO2,,Erigeron modestus A. Gray,plains fleabane,Asteraceae
ERNE3,ERNE3,,Erigeron neomexicanus A. Gray,New Mexico fleabane,Asteraceae
ERNI6,ERACD2,ERNI6,Erigeron nivalis Nutt.,,Asteraceae
ERNU7,ERFL,ERNU7,Erigeron nudiflorus Buckley,,Asteraceae
EROB4,ERGLG,EROB4,Erigeron oblanceolatus Rydb.,,Asteraceae
EROR5,EROR5,,Erigeron oreophilus Greenm.,chaparral fleabane,Asteraceae
EROR6,CHSP11,EROR6,Erigeron ortegae S.F. Blake,,Asteraceae
ERPE3,ERPE3,,Erigeron peregrinus (Banks ex Pursh) Greene,subalpine fleabane,Asteraceae
ERPEC,ERPEC,,Erigeron peregrinus (Banks ex Pursh) Greene ssp. callianthemus (Greene) Cronquist,subalpine fleabane,Asteraceae
ERPEC2,ERPEC2,,Erigeron peregrinus (Banks ex Pursh) Greene ssp. callianthemus (Greene) Cronquist var. callianthemus,subalpine fleabane,Asteraceae
ERPEA2,ERPEC2,ERPEA2,Erigeron peregrinus (Banks ex Pursh) Greene var. angustifolius (A. Gray) Cronquist,,Asteraceae
ERPEE,ERPEC2,ERPEE,Erigeron peregrinus (Banks ex Pursh) Greene var. eucallianthemus Cronquist,,Asteraceae
ERPES3,ERPEC2,ERPES3,Erigeron peregrinus (Banks ex Pursh) Greene var. scaposus (Torr. & A. Gray) Cronquist,,Asteraceae
ERPE11,ERCOS,ERPE11,Erigeron perglaber S.F. Blake,,Asteraceae
ERPH,ERPH,,Erigeron philadelphicus L.,Philadelphia fleabane,Asteraceae
ERPHG2,ERPHP,ERPHG2,Erigeron philadelphicus L. var. glaber Henry,,Asteraceae
ERPHP,ERPHP,,Erigeron philadelphicus L. var. philadelphicus,Philadelphia fleabane,Asteraceae
ERPHS,ERPHP,ERPHS,Erigeron philadelphicus L. var. scaturicola (Fernald) Fernald,,Asteraceae
ERPI6,ERPI6,,Erigeron pinnatisectus (A. Gray) A. Nelson,featherleaf fleabane,Asteraceae
ERPL6,ERMO2,ERPL6,Erigeron plateauensis Cronquist,,Asteraceae
ERPL7,ERVR,ERPL7,Erigeron platyphyllus Greene,,Asteraceae
ERPU9,ERPU9,,Erigeron pulcherrimus A. Heller,basin fleabane,Asteraceae
ERPUW,ERPU9,ERPUW,Erigeron pulcherrimus A. Heller var. wyomingia (Rydb.) Cronquist,,Asteraceae
ERPU2,ERPU2,,Erigeron pumilus Nutt.,shaggy fleabane,Asteraceae
ERPUC,ERCOC3,ERPUC,Erigeron pumilus Nutt. ssp. concinnoides Cronquist,,Asteraceae
ERPUP3,ERPUP3,,Erigeron pumilus Nutt. ssp. pumilus,shaggy fleabane,Asteraceae
ERPUT2,ERPUP3,ERPUT2,Erigeron pumilus Nutt. ssp. typicus Cronquist,,Asteraceae
ERPUC3,ERCOC3,ERPUC3,Erigeron pumilus Nutt. var. concinnus (Hook. & Arn.) Dorn,,Asteraceae
ERPUC4,ERCOC4,ERPUC4,Erigeron pumilus Nutt. var. condensatus (D.C. Eaton) Cronquist,,Asteraceae
ERPUE,ERCOC3,ERPUE,Erigeron pumilus Nutt. var. euconcinnoides Cronquist,,Asteraceae
ERPUP6,ERPUP3,ERPUP6,Erigeron pumilus Nutt. var. pumilus,,Asteraceae
ERPUS2,ERCOS,ERPUS2,Erigeron pumilus Nutt. var. subglaber Cronquist,,Asteraceae
ERPU13,ERPHP,ERPU13,Erigeron purpureus Aiton,,Asteraceae
ERRH2,ERRH2,,Erigeron rhizomatus Cronquist,rhizome fleabane,Asteraceae
ERRU5,ERAR4,ERRU5,Erigeron rusbyi A. Gray,,Asteraceae
ERRY2,ERRY2,,Erigeron rybius G.L. Nesom,royal fleabane,Asteraceae
ERSC10,LASC3,ERSC10,Erigeron schiedeanus Less.,,Asteraceae
ERSC7,ERSC7,,Erigeron scopulinus G.L. Nesom & Roth,Winn Falls fleabane,Asteraceae
ERSI3,ERSI3,,Erigeron simplex Greene,onestem fleabane,Asteraceae
ERSI9,ERSI9,,Erigeron sivinskii G.L. Nesom,Sivinsk's erigeron,Asteraceae
ERSP4,ERSP4,,Erigeron speciosus (Lindl.) DC.,aspen fleabane,Asteraceae
ERSPM,ERSPM,,Erigeron speciosus (Lindl.) DC. var. macranthus (Nutt.) Cronquist,aspen fleabane,Asteraceae
ERSPM2,ERSUS,ERSPM2,Erigeron speciosus (Lindl.) DC. var. mollis (A. Gray) S.L. Welsh,,Asteraceae
ERSPS,ERSPS,,Erigeron speciosus (Lindl.) DC. var. speciosus,aspen fleabane,Asteraceae
ERSPT,ERSPS,ERSPT,Erigeron speciosus (Lindl.) DC. var. typicus Cronquist,,Asteraceae
ERST3,ERST3,,Erigeron strigosus Muhl. ex Willd.,prairie fleabane,Asteraceae
ERSU9,ERSU9,,Erigeron subglaber Cronquist,hairless fleabane,Asteraceae
ERSU2,ERSU2,,Erigeron subtrinervis Rydb. ex Porter & Britton,threenerve fleabane,Asteraceae
ERSUT,ERSUS,ERSUT,Erigeron subtrinervis Rydb. ex Porter & Britton ssp. typicus Cronquist,,Asteraceae
ERSUS,ERSUS,,Erigeron subtrinervis Rydb. ex Porter & Britton var. subtrinervis,threenerve fleabane,Asteraceae
ERSU3,EREX4,ERSU3,Erigeron superbus Greene ex Rydb.,,Asteraceae
ERTR20,ERCO4,ERTR20,Erigeron trifidus Hook.,,Asteraceae
ERUNM,ERME2,ERUNM,Erigeron uniflorus L. var. melanocephalus A. Nelson,,Asteraceae
ER8xx,,,Erigeron unknown sp.,,Asteraceae
ERUR2,ERUR2,,Erigeron ursinus D.C. Eaton,Bear River fleabane,Asteraceae
ERUT,ERUT,,Erigeron utahensis A. Gray,Utah fleabane,Asteraceae
ERUTS,ERUTS,,Erigeron utahensis A. Gray var. sparsifolius (Eastw.) Cronquist,Utah fleabane,Asteraceae
ERVE13,ERVE13,,Erigeron versicolor (Greenm.) G.L. Nesom,changing fleabane,Asteraceae
ERVE2,ERVE2,,Erigeron vetensis Rydb.,early bluetop fleabane,Asteraceae
ERVI15,ERFO3,ERVI15,Erigeron viscidus Rydb.,,Asteraceae
ERVR,ERVR,,Erigeron vreelandii Greene,Vreeland's erigeron,Asteraceae
ERWA,ERMO2,ERWA,Erigeron warnockii (Shinners) Shinners,,Asteraceae
ERWY,ERPU9,ERWY,Erigeron wyomingia Rydb.,,Asteraceae
ERAU5,MAPIP4,ERAU5,Eriocarpum australe Greene,,Asteraceae
ERGR14,MAGRG,ERGR14,Eriocarpum grindelioides Nutt.,,Asteraceae
ERSP14,MAPIP4,ERSP14,Eriocarpum spinulosum (Pursh) Greene,,Asteraceae
ER9xx,,,Eriocarpum unknown sp.,,Asteraceae
ERWO,MAPIP4,ERWO,Eriocarpum wootonii Greene,,Asteraceae
ERAC4,ERAC4,,Eriochloa acuminata (J. Presl) Kunth,tapertip cupgrass,Poaceae
ERACA,ERACA,,Eriochloa acuminata (J. Presl) Kunth var. acuminata,tapertip cupgrass,Poaceae
ERACM,ERACM,,Eriochloa acuminata (J. Presl) Kunth var. minor (Vasey) R.B. Shaw,tapertip cupgrass,Poaceae
ERCO8,ERCO8,,Eriochloa contracta Hitchc.,prairie cupgrass,Poaceae
ERGR4,ERACA,ERGR4,Eriochloa gracilis (Fourn.) Hitchc.,,Poaceae
ERGRM,ERACM,ERGRM,Eriochloa gracilis (Fourn.) Hitchc. var. minor (Vasey) Hitchc.,,Poaceae
ERIOC2,ERIOC2,,Eriochloa Kunth,cupgrass,Poaceae
ERLE7,ERLE7,,Eriochloa lemmonii Vasey & Scribn.,canyon cupgrass,Poaceae
ERLEG,ERACA,ERLEG,Eriochloa lemmonii Vasey & Scribn. var. gracilis (Fourn.) Gould,,Poaceae
ERPUM,ERACM,ERPUM,Eriochloa punctata (L.) Desv. ex Ham. var. minor Vasey,,Poaceae
ER10xx,,,Eriochloa unknown sp.,,Poaceae
ERCU9,ACHY,ERCU9,Eriocoma cuspidata Nutt.,,Poaceae
ER11xx,,,Eriocoma unknown sp.,,Poaceae
ERAB2,ERAB2,,Eriogonum abertianum Torr.,Abert's buckwheat,Polygonaceae
ERABA,ERAB2,ERABA,Eriogonum abertianum Torr. var. abertianum,,Polygonaceae
ERABC,ERAB2,ERABC,Eriogonum abertianum Torr. var. cyclosepalum (Greene) Fosberg,,Polygonaceae
ERABG,ERAB2,ERABG,Eriogonum abertianum Torr. var. gillespiei Fosberg,,Polygonaceae
ERABN,ERAB2,ERABN,Eriogonum abertianum Torr. var. neomexicanum Gandog.,,Polygonaceae
ERABV,ERAB2,ERABV,Eriogonum abertianum Torr. var. villosum Fosberg,,Polygonaceae
ERAI2,ERLOF,ERAI2,Eriogonum ainsliei Standl.,,Polygonaceae
ERAL4,ERAL4,,Eriogonum alatum Torr.,winged buckwheat,Polygonaceae
ERALT2,ERALA2,ERALT2,Eriogonum alatum Torr. ssp. triste (S. Watson) S. Stokes,,Polygonaceae
ERALA2,ERALA2,,Eriogonum alatum Torr. var. alatum,winged buckwheat,Polygonaceae
ERALG,ERALG,,Eriogonum alatum Torr. var. glabriusculum Torr.,winged buckwheat,Polygonaceae
ERAL11,ERAL11,,Eriogonum aliquantum Reveal,Cimarron buckwheat,Polygonaceae
